Nombre,Referencia interna,Código de barras,Categoría de producto,Coste,Precio de venta,Unidad SAT,Margen de Utilidad,Margen de Utilidad en %
ADAPTADOR CPVC ROSCA INT 1 1/2 ANBEC,ARICPVC112,7506069019951,ANBEC,0.0,34.2,Pieza,34.2,100.0
ADAPTADOR CPVC ROSCA INT 1 ANBEC,ARICPVC1,,ANBEC,0.0,10.5,Pieza,10.5,100.0
ADAPTADOR CPVC ROSCA INT 1-1/4 ANBEC,ARICPVC114,,ANBEC,0.0,24.5,Pieza,24.5,100.0
ADAPTADOR CPVC ROSCA INT 1/2 ANBEC,ARICPVC12,,ANBEC,0.0,4.4,Pieza,4.4,100.0
ADAPTADOR CPVC ROSCA INT 2 ANBEC,ARICPVC2,7506069065767,ANBEC,0.0,72.8,Pieza,72.8,100.0
ADAPTADOR CPVC ROSCA INT 3/4 ANBEC,ARICPVC34,,ANBEC,0.0,6.6,Pieza,6.6,100.0
ADAPTADOR CPVC ROSCA INT INSERTO BRONCE 1 ANBEC,ARIBCPVC1,7506069008184,ANBEC,0.0,119.0,Pieza,119.0,100.0
ADAPTADOR CPVC ROSCA INT INSERTO BRONCE 1 X 1/2 ANBEC,ARIBRCPVC112,7506069008207,ANBEC,0.0,47.6,Pieza,47.6,100.0
ADAPTADOR CPVC ROSCA INT INSERTO BRONCE 1/2 ANBEC,ARIBCPVC12,7506069008160,ANBEC,0.0,39.7,Pieza,39.7,100.0
ADAPTADOR CPVC ROSCA INT INSERTO BRONCE 3/4 ANBEC,ARIBCPVC34,7506069008177,ANBEC,0.0,53.0,Pieza,53.0,100.0
ADAPTADOR CPVC ROSCA INT INSERTO BRONCE 3/4 X 1/2 ANBEC,ARIBRCPVC3412,7506069008191,ANBEC,0.0,45.0,Pieza,45.0,100.0
ADAPTADOR GALV ESPIGA PVC 100mm,ADESP100,,MG,0.0,72.48,Pieza,72.48,100.0
ADAPTADOR HEMBRA PVC CED 40 1,ARIPVC1027,7506069071706,ANBEC,0.0,7.8,Pieza,7.8,100.0
ADAPTADOR HEMBRA PVC CED 40 1/2,ARIPVC1025,7506069071683,ANBEC,0.0,3.5,Pieza,3.5,100.0
ADAPTADOR HEMBRA PVC CED 40 3/4,ARIPVC1026,7506069071690,ANBEC,0.0,4.5,Pieza,4.5,100.0
ADAPTADOR HEMBRA RED PP-R TERMOFUSION  INSERTO DE LATON 25 MM X 1/2 ANBEC,CPPR884,7506069046520,ANBEC,0.0,49.0,Pieza,49.0,100.0
ADAPTADOR HEMBRA RED PP-R TERMOFUSION  INSERTO DE LATON 25 MM X 3/4 ANBEC,CPPR1040,7506069048982,ANBEC,0.0,46.5,Pieza,46.5,100.0
ADAPTADOR HEMBRA RED PP-R TERMOFUSION INSERTO DE LATON 20 MM X 1/2 ANBEC,CPPR882,7506069046506,ANBEC,0.0,30.6,Pieza,30.6,100.0
ADAPTADOR HEMBRA RED PP-R TERMOFUSION INSERTO DE LATON 20 MM X 3/4 ANBEC,CPPR883,7506069046513,ANBEC,0.0,46.5,Pieza,46.5,100.0
ADAPTADOR HEMBRA RED PP-R TERMOFUSION INSERTO DE LATON 32 MM X 1 ANBEC,CPPR1041,7506069048999,ANBEC,0.0,115.0,Pieza,115.0,100.0
ADAPTADOR MACHO HIDRAULICO 2 C-40TEMP MAX 60G PRESION MAX,,,All,0.0,24.55,Pieza,24.55,100.0
ADAPTADOR MACHO PVC CED 40 1,AREPVC1024,7506069071676,ANBEC,0.0,9.5,Pieza,9.5,100.0
ADAPTADOR MACHO PVC CED 40 1/2,AREPVC1022,7506069071652,ANBEC,0.0,4.2,Pieza,4.2,100.0
ADAPTADOR MACHO PVC CED 40 3/4,AREPVC1023,7506069071669,ANBEC,0.0,5.4,Pieza,5.4,100.0
ADAPTADOR MACHO RED PP-R TERMOFUSION INSERTO DE LATON 20 MM X 1/2 ANBEC,CPPR885,7506069046537,ANBEC,0.0,40.4,Pieza,40.4,100.0
ADAPTADOR MACHO RED PP-R TERMOFUSION INSERTO DE LATON 20 MM X 3/4 ANBEC,CPPR886,7506069046544,ANBEC,0.0,59.5,Pieza,59.5,100.0
ADAPTADOR MACHO RED PP-R TERMOFUSION INSERTO DE LATON 25 MM X 1/2 ANBEC,CPPR887,7506069046551,ANBEC,0.0,49.0,Pieza,49.0,100.0
ADAPTADOR MACHO RED PP-R TERMOFUSION INSERTO DE LATON 25 MM X 3/4 ANBEC,CPPR1042,7506069049002,ANBEC,0.0,59.5,Pieza,59.5,100.0
ADAPTADOR MACHO RED PP-R TERMOFUSION INSERTO DE LATON 32 MM X 1 ANBEC,CPPR1043,7506069049019,ANBEC,0.0,125.0,Pieza,125.0,100.0
ADAPTADOR PARA CLAVIJA 3 A 2 BLANCO STROM,ST2723,7506069079856,ANBEC,0.0,21.5,Pieza,21.5,100.0
ADAPTADOR PARA CLAVIJA 3 A 2 GRIS STROM,ST2725,7506069079870,ANBEC,0.0,21.5,Pieza,21.5,100.0
ADAPTADOR PARA FILTRO ANBEC,AF04,7506069040696,ANBEC,0.0,214.0,Pieza,214.0,100.0
ADAPTADOR PARA FILTRO METALICO ANBEC,ADAF,7506069000270,ANBEC,0.0,224.0,Pieza,224.0,100.0
ADAPTADOR PARA FILTRO UNIVERSAL ANBEC,AF03,7506069000584,ANBEC,0.0,238.0,Pieza,238.0,100.0
