"Nombre","Referencia interna","Código de barras","Categoría de producto","Coste","Precio de venta","Unidad SAT"
"ELP CESPOL LAVABO BOTE CHIC CL-01PVC ECONOMICO ELPRO","CL-01PVC","","LIMSA","50.99","72.0","Pieza"
"ELP CESPOL LAVABO BOTE CHICO CL-02 C/ ANILLO ACERO EN LA CONTRA ELPRO","","","LIMSA","61.64","87.0","Pieza"
"EMBELLECEDOR 16 MM 1 SET CON 4 PIEZAS C/TORNILLOS SHUTZ ELITE","SHEM1956","7506069068782","ANBEC","0.0","34.0","Pieza"
"EMBELLECEDOR 19 MM 1 SET CON 4 PIEZAS C/TORNILLOS SHUTZ ELITE","SHEM1957","7506069068799","ANBEC","0.0","37.0","Pieza"
"EMBELLECEDOR 25 MM 1 SET CON 4 PIEZAS C/TORNILLOS SHUTZ ELITE","SHEM1958","7506069068805","ANBEC","0.0","45.0","Pieza"
"EMBUDO DE PLASTICO FLEXIBLE NEGRO TRUEPOWER","TPFUNNEL","7506069016127","ANBEC","0.0","31.0","Pieza"
"EMBUDO PLASTICO FLEXIBLE CON FILTRO 5 11207 TRUPER","EMB-50","7506240658511","Truper","28.98","46.0","Pieza"
"EMMSA CODO CPVC 13X45","dtccod1345","","LIMSA","0.96","4.0","Pieza"
"EMMSA CODO CPVC 13X90","dtccod1390","","LIMSA","1.04","4.0","Pieza"
"EMMSA CODO CPVC 19X45","dtccod1945","","LIMSA","1.98","6.0","Pieza"
"EMMSA CODO CPVC 19X90","dtccod1990","","LIMSA","2.21","6.0","Pieza"
"EMMSA CODO CPVC 25X45","","","LIMSA","4.47","13.0","Pieza"
"EMMSA CODO CPVC 25X90","dtccod2590","","LIMSA","4.89","13.0","Pieza"
"EMMSA CODO OREJACPVC CUERDA INT13M","dtccor13","750999987010","LIMSA","5.38","12.0","Pieza"
"EMMSA COPLE CPVC 13MM","DTCCOP13","","LIMSA","0.8","3.0","Pieza"
"EMMSA COPLE CPVC 19MM","dtccop19","","LIMSA","1.57","5.0","Pieza"
"EMMSA COPLE CPVC 25MM","dtccop25","","LIMSA","3.14","12.0","Pieza"
"EMMSA COPLE ROSCA EXT CPVC 13MM","dtccoprex13","","LIMSA","1.45","5.0","Pieza"
"EMMSA COPLE ROSCA EXT CPVC 19MM","dtccoprex19","","LIMSA","1.98","8.0","Pieza"
"EMMSA COPLE ROSCA EXT CPVC 25MM","dtccoprex25","","LIMSA","3.6","10.0","Pieza"
"EMMSA COPLE ROSCA INT CPVC 13MM","dtccoprin13","","LIMSA","1.83","5.0","Pieza"
"EMMSA COPLE ROSCA INT CPVC 19MM","dtccoprin19","","LIMSA","2.67","6.0","Pieza"
"EMMSA COPLE ROSCA INT CPVC 25MM","dtccoprin25","","LIMSA","5.0","13.0","Pieza"
"EMMSA TEE CPVC 13MM","dtctee13","","LIMSA","1.5","5.0","Pieza"
"EMMSA TEE CPVC 19MM","dtctee19","","LIMSA","3.02","10.0","Pieza"
"EMMSA TEE CPVC 25MM","","","LIMSA","8.86","13.0","Pieza"
"EMMSA TUERCA UNION CPVC 13MM","dtctun13","","LIMSA","4.28","12.0","Pieza"
"EMMSA TUERCA UNION CPVC 19MM","dtctun19","","LIMSA","10.200000000000001","20.0","Pieza"
"EMMSA TUERCA UNION CPVC 25MM","","","LIMSA","17.92","28.0","Pieza"
"EMMSA VALVULA DE BOLA CPVC 13MM","dtcvbo13","","LIMSA","12.11","20.0","Pieza"
"EMMSA VALVULA DE BOLA CPVC 19MM","dtcvbo19","","LIMSA","20.7","40.0","Pieza"
"EMMSA VALVULA DE BOLA CPVC 25MM","dtcvbo25","","LIMSA","34.59","70.0","Pieza"
"EMPAQUE CHUPON 40X32 (1.5*1.25) PZA E403","E403","","ABRAMEX","4.07","10.0","Pieza"
"EMPAQUE CHUPON 50*32 LAVABO 2x1.25   2316","CH2114","","ABRAMEX","3.9","10.0","Pieza"
"EMPAQUE CHUPON 50*40 FREG. 2x1.5   2426","CH2112","","ABRAMEX","3.85","10.0","Pieza"
"EMPAQUE CHUPON P/LAVABO-FREGADERO (1.5*1.25) COFLEX PB9030","cofahu","","ABRAMEX","16.4","30.0","Pieza"
"EMPAQUE CON RESORTE JUEGO ANBEC","EMPR","7506069011443","ANBEC","0.0","19.5","Pieza"
"EMPAQUE CONICO 1/2 #102 C/100","E102","","ABRAMEX","41.300000000000004","60.0","Pieza"
"EMPAQUE CONICO 5/8 #104 C/100","E104","","ABRAMEX","41.300000000000004","60.0","Pieza"
"EMPAQUE DE NEOPRENO 3""","","","GRUPO FG","19.0","25.0","Pieza"
"EMPAQUE DE NEOPRENO 6""","","","GRUPO FG","32.02","42.0","Pieza"
"EMPAQUE DE NEOPRENO 8""","","","GRUPO FG","45.44","59.0","Pieza"
"EMPAQUE DE NEOPRENO CONICO 0 BOLSA 100 PZS ANBEC","ENC0","7506069011016","ANBEC","0.0","91.0","Pieza"
"EMPAQUE DE NEOPRENO CONICO 00 1 PZS ANBEC","ENC00","","ANBEC","0.0","2.0","Pieza"
"EMPAQUE DE NEOPRENO CONICO 00 BOLSA 100 PZS ANBEC","ENC00","7506069011023","ANBEC","0.0","91.0","Pieza"
"EMPAQUE DE NEOPRENO CONICO 1/2 BOLSA 100 PZS ANBEC","ENC12","7506069054136","ANBEC","0.0","135.0","Pieza"
"EMPAQUE DE NEOPRENO CONICO 1/2 L BOLSA 100 PZS ANBEC","ENC12L","7506069052477","ANBEC","0.0","135.0","Pieza"
"EMPAQUE DE NEOPRENO CONICO 1/4 BOLSA 100 PZS ANBEC","ENC14","7506069053146","ANBEC","0.0","98.0","Pieza"
