Nombre,Referencia interna,Código de barras,Categoría de producto,Coste,Precio de venta,Unidad SAT,Margen de Utilidad,Margen de Utilidad en %
GALV PIJA PARA LAMINA PLANA PHILLIPS 12X11/2,PLPPHG012038,,EL TORNILLO,0.32,1.0,Pieza,0.6799999999999999,68.0
GALV PIJA PARA LAMINA PLANA PHILLIPS 12X11/4,PLPPHG012032,,EL TORNILLO,0.37,1.0,Pieza,0.63,63.0
GALV PIJA PARA LAMINA PLANA PHILLIPS 12X2,PLPPHG012051,,EL TORNILLO,0.38,1.0,Pieza,0.62,62.0
GALV PIJA PARA LAMINA PLANA PHILLIPS 12X21/2,PLPPHG012064,,EL TORNILLO,0.48,1.0,Pieza,0.52,52.0
GALV PIJA PARA LAMINA PLANA PHILLIPS 12X3/4,09-023-12X3/4,,EL TORNILLO,0.27,1.0,Pieza,0.73,73.0
GALV PIJA PARA LAMINA PLANA PHILLIPS 12X5/8,PLPPHG012016,,EL TORNILLO,0.38,1.0,Pieza,0.62,62.0
GALV PIJA PARA LAMINA PLANA PHILLIPS 4X1,PLPPHG004025,,EL TORNILLO,0.1,0.5,Pieza,0.4,80.0
GALV PIJA PARA LAMINA PLANA PHILLIPS 4X3/4,PLPPHG004019,,EL TORNILLO,0.08,0.5,Pieza,0.42,84.0
GALV PIJA PARA LAMINA PLANA PHILLIPS 4X5/8,09-023-4x5/8,,EL TORNILLO,0.09,0.5,Pieza,0.41,82.0
GALV PIJA PARA LAMINA PLANA PHILLIPS 6X1,PLPPHG006025,,EL TORNILLO,0.11,0.5,Pieza,0.39,78.0
GALV PIJA PARA LAMINA PLANA PHILLIPS 6X1-1/4,09-023-6X1-1/4,,EL TORNILLO,0.16,0.5,Pieza,0.3399999999999999,68.0
GALV PIJA PARA LAMINA PLANA PHILLIPS 6X1/2,PLPPHG006013,,EL TORNILLO,0.08,0.5,Pieza,0.42,84.0
GALV PIJA PARA LAMINA PLANA PHILLIPS 6X11/2,PLPPHG006038,,EL TORNILLO,0.16,0.5,Pieza,0.3399999999999999,68.0
GALV PIJA PARA LAMINA PLANA PHILLIPS 6X3/4,PLPPHG006019,,EL TORNILLO,0.09,0.5,Pieza,0.41,82.0
GALV PIJA PARA LAMINA PLANA PHILLIPS 6X5/8,PLPPHG006016,,EL TORNILLO,0.08,0.5,Pieza,0.42,84.0
GALV TORNILLO COCHE G2 NC 1/4X11/4,CO2SG0063032,,EL TORNILLO,0.44,1.0,Pieza,0.56,56.00000000000001
GALV TORNILLO ESTUFA CABEZA GOTA COMBINADA NC 1/8 X 2,,,EL TORNILLO,0.28,1.0,Pieza,0.72,72.0
GALV TORNILLO ESTUFA CABEZA GOTA NC 1/4X1,EBP2SG063025,,EL TORNILLO,0.34,1.0,Pieza,0.6599999999999999,65.99999999999999
GALV TORNILLO ESTUFA CABEZA GOTA NC 1/4X1/2,EBP2SG063013,,EL TORNILLO,0.23,0.5,Pieza,0.27,54.0
GALV TORNILLO ESTUFA CABEZA GOTA NC 1/4X11/4,EBP2SG063032,,EL TORNILLO,0.44,1.0,Pieza,0.56,56.00000000000001
GALV TORNILLO ESTUFA CABEZA GOTA NC 1/8X1,EBP2SG031025,,EL TORNILLO,0.1,0.5,Pieza,0.4,80.0
GALV TORNILLO ESTUFA CABEZA GOTA NC 1/8X11/2,EBP2SG031038,,EL TORNILLO,0.13,0.5,Pieza,0.37,74.0
GALV TORNILLO ESTUFA CABEZA GOTA NC 1/8X11/4,EBP2SG031032,,EL TORNILLO,0.12,0.5,Pieza,0.38,76.0
GALV TORNILLO ESTUFA CABEZA GOTA NC 3/16X1,EBP2SG047025,,EL TORNILLO,0.32,1.0,Pieza,0.6799999999999999,68.0
GALV TORNILLO ESTUFA CABEZA GOTA NC 3/16X1/2,EBP2SG047013,,EL TORNILLO,0.13,0.5,Pieza,0.37,74.0
GALV TORNILLO ESTUFA CABEZA GOTA NC 3/16X3/4,EBP2SG047019,,EL TORNILLO,0.15,0.5,Pieza,0.35,70.0
GALV TORNILLO ESTUFA CABEZA GOTA NC 5/32X2,06-001-5/32x2,,EL TORNILLO,0.23,1.0,Pieza,0.77,77.0
GALV TORNILLO ESTUFA CABEZA GOTA NC 532X1,EBP2SG039025,,EL TORNILLO,0.12,0.5,Pieza,0.38,76.0
GALV TORNILLO ESTUFA CABEZA GOTA NC 532X1/2,EBP2SG039013,,EL TORNILLO,0.1,0.5,Pieza,0.4,80.0
GALV TORNILLO ESTUFA CABEZA GOTA NC 532X11/4,EBP2SG039032,,EL TORNILLO,0.18,0.5,Pieza,0.32,64.0
GALV TORNILLO ESTUFA CABEZA GOTA NC 532X21/2,EBP2SG039064,,EL TORNILLO,0.3,1.0,Pieza,0.7,70.0
GALV TORNILLO ESTUFA CABEZA GOTA NC 532X3,EBP2SG039076,,EL TORNILLO,0.34,1.0,Pieza,0.6599999999999999,65.99999999999999
GALV TORNILLO ESTUFA CABEZA GOTA NC 532X3/4,EBP2SG039019,,EL TORNILLO,0.12,0.5,Pieza,0.38,76.0
GALV TORNILLO HEX G2 NC 1/4X1/2,HE2SG0063013,,EL TORNILLO,0.29,1.0,Pieza,0.71,71.0
GALVANIZADA ARMELLA ABIERTA 15X30,ARMABG015030,,EL TORNILLO,0.14,0.5,Pieza,0.36,72.0
GALVANIZADA ARMELLA ABIERTA 17X40,ARMABG017040,,EL TORNILLO,0.22,0.5,Pieza,0.28,56.00000000000001
GALVANIZADA ARMELLA ABIERTA 18X50,ARMABG018050,,EL TORNILLO,0.29,1.0,Pieza,0.71,71.0
GALVANIZADA ARMELLA ABIERTA 19X60,ARMABG019060,,EL TORNILLO,0.35,1.0,Pieza,0.65,65.0
GALVANIZADA ARMELLA CERRADA 15X30,ARC15X30,,EL TORNILLO,0.14,0.5,Pieza,0.36,72.0
GALVANIZADA ARMELLA CERRADA 17X40,ARMCEG017040,,EL TORNILLO,0.19,0.5,Pieza,0.31,62.0
GALVANIZADA ARMELLA CERRADA 18X50,ARMCEG018050,,EL TORNILLO,0.26,1.0,Pieza,0.74,74.0
GALVANIZADA ARMELLA CERRADA 19X60,ARMCEG019060,,EL TORNILLO,0.36,1.0,Pieza,0.64,64.0
GALVANIZADA ARMELLA CERRADA 20X70,ARMCEG020070,,EL TORNILLO,0.47,1.0,Pieza,0.53,53.0
