Nombre,Referencia interna,Código de barras,Categoría de producto,Coste,Precio de venta,Unidad SAT,Margen de Utilidad,Margen de Utilidad en %
BRIDA P/TINACO PVC C/EMPAQUE fv,Brida FERREVAL,,All,19.65,43.0,Pieza,23.35,54.30232558139535
"BRIDA SLIP ON A.C. A-105 150# RF 8""",,,All,0.0,3399.89,Pieza,3399.89,100.0
BROCA PARA MADERA 3/8 TRUPER,BM-3/8,7506240688068,All,25.0,30.0,Pieza,5.0,16.666666666666664
BROCHA NORTE?A 038MM 11/2 EXITO,,,All,11.0,14.0,Pieza,3.0,21.428571428571427
BTO ADE1000 BCO OBRA 20KG,,,All,81.0,110.0,Pieza,29.0,26.36363636363636
BTO BOQUILLA CAOBA 10KGS,,,All,95.0,120.0,Pieza,25.0,20.833333333333336
BTO BOQUILLA MARFIL 10KG,,,All,95.0,120.0,Pieza,25.0,20.833333333333336
BTO DE MARMOLINA T 1,,,All,92.99,130.0,Pieza,37.010000000000005,28.469230769230773
BTO DE MARMOLINA T2,,,All,97.0,130.0,Pieza,33.0,25.384615384615383
"Bomba sumergible para efluente y lodos Mod: STRONG2F/10/1230, CUERPO: hierro fundido, descarga 2"" NPT, con motor de 1hp, 1fases, 230volts, paso de sólidos 2""",,,All,17872.850000000002,23235.0,Pieza,5362.149999999998,23.07789972024961
Boquilla penetradora,,,All,0.0,0.0,Pieza,0.0,
Boquilla sanitaria,,,All,0.0,0.0,Pieza,0.0,
Bota de seguridad de trabajo #26,,,All,260.0,420.0,Pieza,160.0,38.095238095238095
Bota de seguridad de trabajo #27,,,All,0.0,420.0,Pieza,420.0,100.0
Bota de seguridad de trabajo #28,,,All,0.0,420.0,Pieza,420.0,100.0
Bota de seguridad de trabajo #29,,,All,0.0,420.0,Pieza,420.0,100.0
Bota de seguridad ejecutiva #26,,,All,0.0,600.0,Pieza,600.0,100.0
Bota de seguridad ejecutiva #27,,,All,380.0,600.0,Pieza,220.0,36.66666666666666
Bota de seguridad ejecutiva #28,,,All,0.0,600.0,Pieza,600.0,100.0
Bota de seguridad ejecutiva #29,,,All,0.0,600.0,Pieza,600.0,100.0
Bovedilla poliestireno68x300x15cm,,,All,0.0,284.0,Pieza,284.0,100.0
Broca para madera 1/4,BM-1/4,7506240688037,All,14.0,20.0,Pieza,6.0,30.0
Broca para madera 3/16,BM-3/16,7506240688013,All,12.0,20.0,Pieza,8.0,40.0
"CABLE DE ALUMINIO URD, POTENCIA XLPE,600 V. 1C , 1N CAL. 6 AWG",,,All,14.48,40.0,Pieza,25.52,63.8
"CABLE DE ALUMINIO URD, POTENCIA XLPE,600 V. 2C , 1N CAL. 6 AWG",268-CXLPC1+1C6AL,,All,33.660000000000004,49.0,Pieza,15.339999999999996,31.306122448979583
CABLE DE COBRE DESNUDO CAL 10 7 HILOS,,,All,0.0,21.0,Pieza,21.0,100.0
CABLE DE COBRE DESNUDO CAL 14 19 HILOS,,,All,0.0,9.0,Pieza,9.0,100.0
CABLE DE COBRE DESNUDO CAL 2 7 HILOS,,,All,97.0,137.0,Pieza,40.0,29.1970802919708
CABLE DE COBRE FORRADO CALIBRE 10 BLANCO CARRETE PARA CORTE CONDULAC,,,All,17.42,24.0,Pieza,6.579999999999998,27.41666666666666
CABLE DE COBRE FORRADO CALIBRE 10 NEGRO CARRETE PARA CORTE CONDULAC,,,All,17.42,24.0,Pieza,6.579999999999998,27.41666666666666
CABLE DE COBRE FORRADO CALIBRE 10 VERDE CARRETE PARA CORTE CONDULAC,,,All,17.42,24.0,Pieza,6.579999999999998,27.41666666666666
CABLE ELECTRICO CAL. 10 BLANCO ARGOS,,,All,20.0,26.0,Pieza,6.0,23.07692307692308
CABLE ELECTRICO CAL. 10 NEGRO ARGOS,,,All,20.0,26.0,Pieza,6.0,23.07692307692308
CABLE ELECTRICO CAL. 10 ROJO ARGOS,,,All,20.0,26.0,Pieza,6.0,23.07692307692308
CABLE POT 16 (MTO) ARGOS,POT16,,All,0.0,20.0,Pieza,20.0,100.0
CABLE POT 16 (R/100MTS) ARGOS,,,All,0.0,1253.0,Pieza,1253.0,100.0
CABLE SENCILLO 100% COBRE 12,,,All,22.0,28.0,Pieza,6.0,21.428571428571427
CABLE THW LS THW-LS 90C 600V CAL. 12 NEGRO,,,All,8.07,15.0,Metro,6.93,46.2
CABLE THW LSTHHW LS 90 GRADOS C 600V CAL 12 BLANCO CONDULAC,CB12B,,All,864.1,1300.0,Metro,435.9,33.53076923076923
CABLE THW LSTHHW LS 90 GRADOS C 600V CAL. 14 BLANCO CONDULAC,204-CTHW14-B,,All,615.27,950.0,Metro,334.73,35.234736842105264
CABLE THW LSTHHW LS 90 GRADOS C 600V CAL. 14 NEGRO METRO CONDULAC,,,All,0.0,11.0,Metro,11.0,100.0
CABLE THW LSTHHW LS 90C 600V CA 12 NEGRO CONDULAC,CB12N,,All,864.1,1300.0,Metro,435.9,33.53076923076923
CABLE THW VINANEL XXI 600V ANTILLAMA CAL 10 ROJO CONDUMEX,,,All,23.55,31.0,Pieza,7.449999999999999,24.032258064516128
CABLE THW VINANEL XXI 600V ANTILLAMA CAL 12 ROJO CONDUMEX,,,All,14.89,19.0,Pieza,4.109999999999999,21.631578947368418
CABLE THW VINANEL XXI 600V ANTILLAMA CAL 12 VERDE CONDUMEX,045-CTHW12-V,,All,14.89,19.0,Pieza,4.109999999999999,21.631578947368418
CABLE THW VINANEL XXI 600V ANTILLAMA CAL 14 BLANCO CONDUMEX,,,All,10.4,14.0,Pieza,3.6,25.71428571428571
CABLE THW VINANEL XXI 600V ANTILLAMA CAL 14 NEGRO CONDUMEX,,,All,10.4,14.0,Pieza,3.6,25.71428571428571
CABLE THW VINANEL XXI 600V ANTILLAMA CAL 14 ROJO CONDUMEX,,,All,10.4,14.0,Pieza,3.6,25.71428571428571
CABLE THW VINANEL XXI 600V ANTILLAMA CAL 14 VERDE CONDUMEX,,,All,10.4,14.0,Pieza,3.6,25.71428571428571
CABLE THW-LS/THHW-LS 90C 600V CAL. 12 VERDE METRO CONDULAC,,,All,8.07,15.0,Metro,6.93,46.2
CABLE VINIKOB LS 105 600V METRO BLANCO KOBREX,,,All,14.0,22.0,Metro,8.0,36.36363636363637
CABLE VINIKOB LS 105 600V METRO NEGRO KOBREX,,,All,14.0,22.0,Metro,8.0,36.36363636363637
CABLE VINIKOB LS 105 METRO 600V C BLANCO KOBREX,,,All,9.0,14.0,Metro,5.0,35.714285714285715
CABLE VINIKOB LS 105 METRO 600V C NEGRO KOBREX,,,All,9.0,14.0,Metro,5.0,35.714285714285715
CABLE VINIKOB LS 105 THW-LS/THHW-LS CT-SR ROHS 600V BLANCO KOBREX,040-CTHW10-B,,All,1409.0,2000.0,Metro,591.0,29.55
CABLE VINIKOB LS 105 THW-LS/THHW-LS CT-SR ROHS 600V NEGRO KOBREX,040-CTHW10-N,,All,1409.0,2000.0,Metro,591.0,29.55
CABLE VINIKOB LS 105 THW-LS/THHW-LS CT-SR RoHS 600V C BLANCO KOBREX,040-CTHW12-B,,All,903.0,1300.0,Metro,397.0,30.538461538461537
CABLE VINIKOB LS 105 THW-LS/THHW-LS CT-SR RoHS 600V C NEGRO KOBREX,040-CTHW12-N,,All,903.0,1300.0,Metro,397.0,30.538461538461537
CABLE VINIKOB LS 105 THW-LS/THHW-LS CT-SR RoHS 600V ROJO KOBREX,040-CTHW12-R,,All,903.19,1300.0,Metro,396.81,30.52384615384615
CAJA CHALUPA GALVANIZADA,CHR,,All,4.71,8.0,Pieza,3.29,41.125
CAJA CON INTERIOR PARA CENTRO  DE CARGA DE 12 POLOS 125A,,,All,2886.0,4040.0,Pieza,1154.0,28.56435643564356
